date,open,high,low,close,volume,comment
2020-11-23,4.49,4.49,4.49,4.49,0.00,Alphavantage
2020-11-24,4.57,4.57,4.57,4.57,0.00,Alphavantage
2020-11-25,4.62,4.62,4.62,4.62,0.00,Alphavantage
2020-11-26,4.60,4.60,4.60,4.60,5730.00,Alphavantage
2020-11-27,4.62,4.62,4.62,4.62,0.00,Alphavantage
2020-11-30,4.59,4.59,4.59,4.59,0.00,Alphavantage
2020-12-01,4.62,4.62,4.62,4.62,0.00,Alphavantage
2020-12-02,4.69,4.69,4.69,4.69,0.00,Alphavantage
2020-12-03,4.70,4.70,4.70,4.70,0.00,Alphavantage
2020-12-04,4.72,4.72,4.72,4.72,5560.00,Alphavantage
2020-12-07,4.72,4.72,4.72,4.72,0.00,Alphavantage
2020-12-08,4.69,4.70,4.69,4.69,17390.00,Alphavantage
2020-12-09,4.67,4.67,4.67,4.67,0.00,Alphavantage
2020-12-10,4.66,4.68,4.65,4.67,35545.00,Alphavantage
2020-12-11,4.60,4.60,4.60,4.60,5900.00,Alphavantage
2020-12-14,4.63,4.65,4.63,4.63,40700.00,Alphavantage
2020-12-15,4.66,4.66,4.66,4.66,0.00,Alphavantage
2020-12-16,4.65,4.65,4.65,4.65,0.00,Alphavantage
2020-12-17,4.65,4.65,4.65,4.65,5820.00,Alphavantage
2020-12-18,4.64,4.64,4.64,4.64,11560.00,Alphavantage
2020-12-21,4.53,4.53,4.53,4.53,0.00,Alphavantage
2020-12-22,4.58,4.58,4.58,4.58,0.00,Alphavantage
2020-12-23,4.63,4.63,4.63,4.63,0.00,Alphavantage
2020-12-24,4.64,4.64,4.64,4.64,0.00,Alphavantage
2020-12-29,4.68,4.68,4.68,4.68,0.00,Alphavantage
2020-12-30,4.66,4.66,4.66,4.66,5790.00,Alphavantage
2020-12-31,4.62,4.62,4.62,4.62,0.00,Alphavantage
2021-01-01,4.62,4.84,4.42,4.42,5830.00,Yahoo
2021-01-04,4.62,4.62,4.62,4.62,0.00,Alphavantage
2021-01-05,4.60,4.60,4.60,4.60,0.00,Alphavantage
2021-01-06,4.84,4.84,4.84,4.84,0.00,Alphavantage
2021-01-07,4.81,4.81,4.81,4.81,5830.00,Alphavantage
2021-01-08,4.81,4.81,4.81,4.81,0.00,Alphavantage
2021-01-11,4.78,4.78,4.78,4.78,0.00,Alphavantage
2021-01-12,4.77,4.77,4.77,4.77,0.00,Alphavantage
2021-01-13,4.74,4.74,4.74,4.74,0.00,Alphavantage
2021-01-14,4.75,4.75,4.75,4.75,0.00,Alphavantage
2021-01-15,4.71,4.71,4.71,4.71,0.00,Alphavantage
2021-01-18,4.72,4.72,4.72,4.72,0.00,Alphavantage
2021-01-19,4.70,4.70,4.70,4.70,0.00,Alphavantage
2021-01-20,4.70,4.70,4.70,4.70,0.00,Alphavantage
2021-01-21,4.69,4.69,4.69,4.69,0.00,Alphavantage
2021-01-22,4.64,4.64,4.64,4.64,0.00,Alphavantage
2021-01-25,4.53,4.53,4.53,4.53,0.00,Alphavantage
2021-01-26,4.59,4.59,4.59,4.59,0.00,Alphavantage
2021-01-27,4.50,4.50,4.50,4.50,0.00,Alphavantage
2021-01-28,4.51,4.51,4.51,4.51,0.00,Alphavantage
2021-01-29,4.42,4.42,4.42,4.42,0.00,Alphavantage
2021-02-01,4.46,4.46,4.46,4.46,652.00,Alphavantage
2021-02-02,4.55,4.55,4.55,4.55,0.00,Alphavantage
2021-02-03,4.57,4.57,4.57,4.57,0.00,Alphavantage
2021-02-04,4.64,4.64,4.64,4.64,0.00,Alphavantage
2021-02-05,4.65,4.65,4.65,4.65,0.00,Alphavantage
2021-02-08,4.68,4.68,4.68,4.68,0.00,Alphavantage
2021-02-09,4.68,4.68,4.68,4.68,0.00,Alphavantage
2021-02-10,4.70,4.70,4.70,4.70,0.00,Alphavantage
2021-02-11,4.70,4.70,4.70,4.70,0.00,Alphavantage
2021-02-12,4.72,4.72,4.72,4.72,0.00,Alphavantage
2021-02-15,4.81,4.81,4.81,4.81,0.00,Alphavantage
2021-02-16,4.83,4.83,4.83,4.83,0.00,Alphavantage
2021-02-17,4.80,4.80,4.80,4.80,0.00,Alphavantage
2021-02-18,4.71,4.71,4.71,4.71,0.00,Alphavantage
2021-02-19,4.78,4.78,4.78,4.78,0.00,Alphavantage
2021-02-22,4.79,4.79,4.79,4.79,0.00,Alphavantage
2021-02-23,4.80,4.80,4.80,4.80,0.00,Alphavantage
2021-02-24,4.84,4.84,4.84,4.84,0.00,Alphavantage
2021-02-25,4.90,4.90,4.90,4.90,0.00,Alphavantage
2021-02-26,4.81,4.81,4.81,4.81,0.00,Alphavantage
2021-03-01,4.88,4.88,4.88,4.88,1330.00,Alphavantage
2021-03-02,4.91,4.91,4.91,4.91,0.00,Alphavantage
2021-03-03,4.97,4.97,4.97,4.97,0.00,Alphavantage
2021-03-04,4.92,4.92,4.92,4.92,42.00,Alphavantage
2021-03-05,4.92,4.92,4.92,4.92,0.00,Alphavantage
2021-03-08,4.98,4.98,4.98,4.98,103.00,Alphavantage
2021-03-09,5.01,5.01,5.01,5.01,0.00,Alphavantage
2021-03-10,5.00,5.00,5.00,5.00,0.00,Alphavantage
2021-03-11,4.97,4.97,4.97,4.97,0.00,Alphavantage
2021-03-12,4.96,5.02,4.96,5.02,14700.00,Alphavantage
2021-03-15,4.99,4.99,4.99,4.99,0.00,Alphavantage
2021-03-16,5.00,5.00,5.00,5.00,0.00,Alphavantage
2021-03-17,5.00,5.00,5.00,5.00,3000.00,Alphavantage
2021-03-18,5.08,5.09,5.08,5.08,11500.00,Alphavantage
2021-03-19,5.01,5.01,4.99,5.01,7180.00,Alphavantage
2021-03-22,4.99,4.99,4.99,4.99,0.00,Alphavantage
2021-03-23,4.99,4.99,4.99,4.99,0.00,Alphavantage
2021-03-24,5.03,5.03,5.03,5.03,0.00,Alphavantage
2021-03-25,4.98,4.98,4.98,4.98,0.00,Alphavantage
2021-03-26,5.01,5.01,5.01,5.01,0.00,Alphavantage
2021-03-29,4.97,4.97,4.97,4.97,0.00,Alphavantage
2021-03-30,5.04,5.04,5.04,5.04,375.00,Alphavantage
2021-03-31,5.03,5.03,5.03,5.03,1850.00,Alphavantage
2021-04-01,5.02,5.02,5.02,5.02,0.00,Alphavantage
2021-04-06,5.07,5.07,5.07,5.07,0.00,Alphavantage
2021-04-07,5.14,5.14,5.14,5.14,0.00,Alphavantage
2021-04-08,5.14,5.14,5.14,5.14,199.00,Alphavantage
2021-04-09,5.14,5.14,5.14,5.14,0.00,Alphavantage
2021-04-12,5.11,5.11,5.11,5.11,10.00,Alphavantage
2021-04-13,5.14,5.14,5.14,5.14,0.00,Alphavantage
2021-04-14,5.14,5.14,5.14,5.14,0.00,Alphavantage
2021-04-15,5.11,5.11,5.11,5.11,0.00,Alphavantage
2021-04-16,5.17,5.17,5.17,5.17,200.00,Alphavantage
2021-04-19,5.14,5.14,5.14,5.14,0.00,Alphavantage
2021-04-20,5.00,5.00,5.00,5.00,0.00,Alphavantage
2021-04-21,5.00,5.00,5.00,5.00,0.00,Alphavantage
2021-04-22,5.02,5.02,5.02,5.02,0.00,Alphavantage
2021-04-23,5.04,5.04,5.04,5.04,0.00,Alphavantage
2021-04-26,5.09,5.09,5.09,5.09,0.00,Alphavantage
2021-04-27,5.10,5.10,5.10,5.10,0.00,Alphavantage
2021-04-28,5.17,5.17,5.17,5.17,0.00,Alphavantage
