date,open,high,low,close,volume,comment
2017-05-25,5.08,5.08,5.06,5.06,91033758.00,Alphavantage
2017-05-26,5.04,5.06,5.04,5.04,2479892.00,Alphavantage
2017-05-30,5.04,5.06,5.03,5.05,1854065.00,Alphavantage
2017-05-31,5.05,5.05,5.04,5.04,288127.00,Alphavantage
2017-06-01,5.04,5.07,5.04,5.07,472389.00,Alphavantage
2017-06-02,5.08,5.10,5.07,5.09,507478.00,Alphavantage
2017-06-05,5.10,5.10,5.06,5.06,207163.00,Alphavantage
2017-06-06,5.04,5.04,5.02,5.02,1245562.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-07,5.01,5.05,5.01,5.02,677440.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-08,5.03,5.04,5.01,5.04,334348.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-09,5.03,5.05,5.02,5.05,42602.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-12,5.03,5.03,4.98,4.99,378139.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-13,5.01,5.04,5.01,5.04,23345.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-14,5.06,5.07,5.03,5.04,245945.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-15,4.99,5.02,4.99,4.99,55072.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-16,5.04,5.04,5.00,5.02,178648.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-19,5.07,5.08,5.06,5.06,37192.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-20,5.10,5.10,5.03,5.03,190218.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-21,5.00,5.04,5.00,5.02,165353.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-22,5.01,5.02,5.01,5.01,207903.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-23,5.01,5.01,5.00,5.00,7540.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-26,5.03,5.03,5.00,5.00,12742.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-27,4.96,4.96,4.95,4.95,442335.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-28,4.92,4.96,4.92,4.96,89268.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-29,4.93,4.97,4.87,4.87,24685.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
